brand_name,generic_name,brand_price,jaan_aushadhi_price,formulation
Augmentin 625,Amoxicillin+Clavulanate,13.20,7.50,tablet
Augmentin 1g,Amoxicillin+Clavulanate,19.80,12.60,tablet
Azithral 500,Azithromycin,48.50,15.00,tablet
Azithral 250,Azithromycin,27.90,9.00,tablet
Crocin Advance 500,Paracetamol,30.00,1.50,tablet
Dolo 650,Paracetamol,34.00,2.40,tablet
Calpol 250,Paracetamol,22.00,1.10,tablet suspension
Telma 40,Telmisartan,120.00,12.00,tablet
Telma 80,Telmisartan,150.00,19.00,tablet
Losar 50,Losartan,95.00,5.70,tablet
Glycomet GP1,Metformin+Glimepiride,115.00,12.50,tablet
Glycomet GP2,Metformin+Glimepiride,135.00,15.60,tablet
Januvia 50,Sitagliptin,185.00,15.00,tablet
Gluconorm G2,Metformin+Glimepiride,110.00,11.40,tablet
Pantocid 40,Pantoprazole,135.00,5.60,tablet
Pan-D,Pantoprazole+Domperidone,175.00,13.00,capsule
Omez 20,Omeprazole,95.00,3.20,capsule
Nexpro RD20,Esomeprazole+Domperidone,168.00,16.00,capsule
Montek LC,Montelukast+Levocetirizine,190.00,14.25,tablet
Allegra 120,Fexofenadine,165.00,19.50,tablet
Cetzine 10,Cetirizine,45.00,2.00,tablet
Avil 25,Pheniramine,35.00,3.40,tablet
Atorva 20,Atorvastatin,158.00,8.90,tablet
Rosuvas 10,Rosuvastatin,198.00,12.00,tablet
Ecosprin 75,Aspirin,12.00,1.20,tablet
Thyronorm 50mcg,Thyroxine,155.00,10.50,tablet
Eltroxin 50mcg,Thyroxine,148.00,10.50,tablet
Ventolin Inhaler,Salbutamol,150.00,35.00,inhaler
Asthalin Inhaler,Salbutamol,120.00,35.00,inhaler
Zincovit,Multivitamin+Zinc,105.00,8.50,tablet
Becosules,B-Complex,78.00,8.00,capsule
Cifran 500,Ciprofloxacin,65.00,9.50,tablet
Norflox-TZ,Norfloxacin+Tinidazole,92.00,14.40,tablet
Metrogyl 400,Metronidazole,38.00,4.10,tablet
Taxim-O 200,Cefixime,180.00,21.60,tablet
Augmentin Dry Syrup,Amoxicillin+Clavulanate,135.00,42.00,syrup
Zifi 200,Cefixime,140.00,21.60,tablet
Levoflox 500,Levofloxacin,175.00,17.10,tablet
Sporidex 500,Cephalexin,180.00,24.80,capsule
Amoxyclav 625,Amoxicillin+Clavulanate,12.50,7.50,tablet
MOX 500,Amoxicillin,17.00,4.90,capsule
